place_id,place_name,state,category,ideal_days,best_time,avg_budget,description,nearest_airport,nearest_railway_station
P001,Agra,Uttar Pradesh,Heritage,2,October-March,5000,Home of the iconic Taj Mahal and rich Mughal-era architecture.,Agra Airport,Agra Cantt Railway Station
P002,Jaipur,Rajasthan,Heritage,3,October-March,6000,The Pink City famous for forts palaces and vibrant Rajasthani culture.,Jaipur International Airport,Jaipur Junction Railway Station
P003,Varanasi,Uttar Pradesh,Spiritual,3,November-March,4500,Ancient holy city on the Ganges renowned for ghats and spiritual rituals.,Lal Bahadur Shastri International Airport,Varanasi Junction Railway Station
P004,Delhi,Delhi,Heritage,3,October-March,7000,India's capital blending Mughal heritage modern life and diverse street food.,Indira Gandhi International Airport,New Delhi Railway Station
P005,Rishikesh,Uttarakhand,Spiritual,3,September-November,4000,Yoga capital of the world nestled in Himalayas along the sacred Ganges.,Jolly Grant Airport,Rishikesh Railway Station
P006,Manali,Himachal Pradesh,Hill Station,4,October-June,6500,Scenic mountain town offering snow peaks adventure sports and lush valleys.,Kullu Manali Airport,Joginder Nagar Railway Station
P007,Shimla,Himachal Pradesh,Hill Station,3,March-June,5500,Charming colonial hill station with toy train rides and panoramic Himalayan views.,Shimla Airport,Kalka Railway Station
P008,Leh,Ladakh,Adventure,5,May-September,9000,High-altitude desert landscape with Buddhist monasteries stunning passes and starry skies.,Kushok Bakula Rimpochee Airport,Jammu Tawi Railway Station
P009,Haridwar,Uttarakhand,Spiritual,2,February-April,3500,Sacred city on the Ganges famous for Ganga Aarti and ancient Hindu temples.,Jolly Grant Airport,Haridwar Railway Station
P010,Amritsar,Punjab,Spiritual,2,October-March,4000,Home to the majestic Golden Temple and the historic Wagah Border ceremony.,Sri Guru Ram Dass Jee International Airport,Amritsar Junction Railway Station
P011,Nainital,Uttarakhand,Hill Station,3,March-June,5000,Charming lake town nestled in Kumaon Himalayas with boating and scenic views.,Pantnagar Airport,Kathgodam Railway Station
P012,Mussoorie,Uttarakhand,Hill Station,3,March-June,5500,Queen of Hills offering colonial charm waterfalls and stunning Himalayan panoramas.,Jolly Grant Airport,Dehradun Railway Station
P013,Mathura,Uttar Pradesh,Spiritual,2,October-March,3500,Birthplace of Lord Krishna with ancient temples ghats and vibrant festivals.,Agra Airport,Mathura Junction Railway Station
P014,Vrindavan,Uttar Pradesh,Spiritual,2,October-March,3000,Sacred town where Lord Krishna spent his childhood surrounded by hundreds of temples.,Agra Airport,Mathura Junction Railway Station
P015,Jim Corbett,Uttarakhand,Wildlife,3,November-June,8000,India's oldest national park famous for Bengal tigers and rich biodiversity.,Pantnagar Airport,Ramnagar Railway Station
P016,Dehradun,Uttarakhand,Nature,2,September-June,4500,Scenic Doon Valley gateway to Uttarakhand with pleasant climate and heritage institutions.,Jolly Grant Airport,Dehradun Railway Station
P017,Spiti Valley,Himachal Pradesh,Adventure,5,May-October,7000,Remote high-altitude cold desert valley with ancient monasteries and dramatic landscapes.,Kullu Manali Airport,Shimla Railway Station
P018,Dharamshala,Himachal Pradesh,Hill Station,3,March-June,5000,Tibetan cultural hub in Himachal Pradesh home to Dalai Lama and lush tea gardens.,Gaggal Airport,Pathankot Railway Station
P019,Pushkar,Rajasthan,Spiritual,2,October-March,4000,Sacred lake town famous for the only Brahma temple and vibrant camel fair.,Jaipur International Airport,Ajmer Railway Station
P020,Jaisalmer,Rajasthan,Desert,3,October-March,6000,Golden City rising from Thar Desert with sandstone fort havelis and camel safaris.,Jaisalmer Airport,Jaisalmer Railway Station
P021,Munnar,Kerala,Hill Station,3,September-March,5500,Scenic Kerala hill station blanketed with sprawling tea gardens mist and waterfalls.,Cochin International Airport,Aluva Railway Station
P022,Ooty,Tamil Nadu,Hill Station,3,October-June,5000,Queen of Nilgiris offering tea gardens toy train rides and pleasant cool climate.,Coimbatore International Airport,Ooty Railway Station
P023,Coorg,Karnataka,Nature,3,October-March,6000,Scotland of India renowned for coffee plantations misty hills and rich tribal culture.,Mangalore International Airport,Mysuru Railway Station
P024,Mysuru,Karnataka,Heritage,3,October-March,5000,Royal city famous for magnificent Mysore Palace vibrant Dasara festival and sandalwood.,Mysuru Airport,Mysuru Railway Station
P025,Hampi,Karnataka,Heritage,3,October-February,4000,UNESCO World Heritage ruins of the magnificent medieval Vijayanagara Empire capital.,Hubli Airport,Hospete Railway Station
P026,Kochi,Kerala,Heritage,3,September-March,5500,Vibrant port city blending colonial heritage Chinese fishing nets and backwater charm.,Cochin International Airport,Ernakulam Junction Railway Station
P027,Alleppey,Kerala,Nature,2,November-February,5000,Venice of the East famous for tranquil backwater houseboat cruises and serene canals.,Cochin International Airport,Alappuzha Railway Station
P028,Kovalam,Kerala,Beach,3,September-March,5500,Crescent-shaped lighthouse beach destination popular for Ayurveda surfing and seafood.,Trivandrum International Airport,Thiruvananthapuram Central Railway Station
P029,Mahabalipuram,Tamil Nadu,Heritage,2,November-February,4000,UNESCO-listed ancient port town with stunning rock-cut temples and shore monuments.,Chennai International Airport,Chennai Egmore Railway Station
P030,Pondicherry,Puducherry,Heritage,3,October-March,5000,Charming French colonial town with colourful boulevards ashrams beaches and cafes.,Puducherry Airport,Puducherry Railway Station
P031,Madurai,Tamil Nadu,Spiritual,3,October-March,4000,Ancient temple city dominated by the magnificent Meenakshi Amman Temple and rich culture.,Madurai Airport,Madurai Junction Railway Station
P032,Rameswaram,Tamil Nadu,Spiritual,2,October-March,3500,Sacred island town with Ramanathaswamy Temple and India's longest temple corridor.,Madurai Airport,Rameswaram Railway Station
P033,Tirupati,Andhra Pradesh,Spiritual,2,September-February,4000,Home to the richest and most visited Hindu temple Venkateswara atop Tirumala hills.,Tirupati Airport,Tirupati Railway Station
P034,Wayanad,Kerala,Wildlife,3,October-May,5500,Lush highland district with wildlife sanctuaries waterfalls tribal culture and coffee estates.,Calicut International Airport,Kozhikode Railway Station
P035,Chikmagalur,Karnataka,Nature,3,September-March,5000,Coffee country hill destination with misty peaks trekking trails and colonial bungalows.,Mangalore International Airport,Chikmagalur Railway Station
