hotel_id,place_id,hotel_name,star_rating,price_per_night,hotel_type,free_wifi,breakfast,parking,family_friendly,address,min_price,max_price
H0001,P001,The Oberoi Amarvilas,5,₹45000–₹80000,Luxury,Yes,Yes,Yes,Yes,Taj East Gate Road Agra,45000,80000
H0002,P001,ITC Mughal Agra,5,₹20000–₹40000,Luxury,Yes,Yes,Yes,Yes,Taj Ganj Agra,20000,40000
H0003,P001,Trident Agra,5,₹12000–₹22000,Luxury,Yes,Yes,Yes,Yes,Fatehabad Road Agra,12000,22000
H0004,P001,Courtyard by Marriott Agra,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,Fatehabad Road Agra,6000,12000
H0005,P001,Hotel Taj Resorts,3,₹3000–₹6000,Mid-range,Yes,No,Yes,Yes,Taj Ganj Agra,3000,6000
H0006,P001,Hotel Kamal,3,₹1500–₹3000,Budget,Yes,No,No,Yes,Taj Ganj Agra,1500,3000
H0007,P001,Zostel Agra,3,₹800–₹2000,Budget,Yes,No,No,Yes,Taj Nagri Phase 2 Agra,800,2000
H0008,P002,Rambagh Palace,5,₹35000–₹75000,Luxury,Yes,Yes,Yes,Yes,Bhawani Singh Road Jaipur,35000,75000
H0009,P002,Taj Jai Mahal Palace,5,₹20000–₹45000,Luxury,Yes,Yes,Yes,Yes,Jacob Road Civil Lines Jaipur,20000,45000
H0010,P002,ITC Rajputana Jaipur,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Palace Road Jaipur,12000,25000
H0011,P002,Fairmont Jaipur,5,₹18000–₹40000,Luxury,Yes,Yes,Yes,Yes,Riico Institutional Area Kukas Jaipur,18000,40000
H0012,P002,Hotel Pearl Palace,3,₹2000–₹5000,Budget,Yes,Yes,No,Yes,Hathroi Fort Ajmer Road Jaipur,2000,5000
H0013,P002,Zostel Jaipur,3,₹800–₹2500,Budget,Yes,No,No,Yes,Bani Park Jaipur,800,2500
H0014,P002,Madhuban Hotel Jaipur,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,D-237 Behari Marg Bani Park Jaipur,3000,6000
H0015,P002,Hilton Jaipur,4,₹8000–₹16000,Mid-range,Yes,Yes,Yes,Yes,Ashram Marg Jaipur,8000,16000
H0016,P003,Taj Ganges Varanasi,5,₹12000–₹25000,Luxury,Yes,Yes,Yes,Yes,Nadesar Palace Grounds Varanasi,12000,25000
H0017,P003,Radisson Hotel Varanasi,4,₹6000–₹12000,Mid-range,Yes,Yes,Yes,Yes,The Mall Cantonment Varanasi,6000,12000
H0018,P003,Hotel Surya Varanasi,3,₹3000–₹6000,Mid-range,Yes,Yes,Yes,Yes,The Mall Cantonment Varanasi,3000,6000
H0019,P003,BrijRama Palace,5,₹18000–₹40000,Luxury,Yes,Yes,No,No,Darbhanga Ghat Varanasi,18000,40000
H0020,P003,Zostel Varanasi,3,₹700–₹2000,Budget,Yes,No,No,Yes,Assi Ghat Varanasi,700,2000
