attraction_id,place_id,attraction_name,category,opening_time,closing_time,entry_fee,time_required,rating,description
A0001,P001,Taj Mahal,Historical,6:00,18:30,1100,3 hours,4.9,Iconic white marble mausoleum built by Emperor Shah Jahan for his wife.
A0002,P001,Agra Fort,Fort,6:00,18:00,650,2 hours,4.7,Massive UNESCO-listed Mughal fort housing palaces courtyards and mosques.
A0003,P001,Fatehpur Sikri,Historical,6:00,18:00,610,3 hours,4.6,Abandoned Mughal capital city with stunning sandstone architecture.
A0004,P001,Mehtab Bagh,Garden,6:00,18:00,300,1 hour,4.5,Moonlit garden offering spectacular sunset views of the Taj Mahal.
A0005,P001,Itimad-ud-Daulah,Historical,6:00,18:00,310,1 hour,4.4,Delicate Mughal tomb often called the Baby Taj for its intricate inlay work.
A0006,P001,Jama Masjid Agra,Religious,7:00,18:00,0,1 hour,4.4,One of India's largest mosques built by Shah Jahan in 1648.
A0007,P001,Akbar's Tomb Sikandra,Historical,6:00,18:00,310,1 hour,4.4,Grand sandstone and marble tomb of Mughal Emperor Akbar near Agra.
A0008,P001,Kinari Bazaar,Market,10:00,21:00,0,1 hour,4.3,Bustling old market famous for wedding accessories zari and marble souvenirs.
A0009,P002,Amber Fort,Fort,8:00,17:30,700,3 hours,4.8,Majestic hilltop fort overlooking Maota Lake with stunning Rajput architecture.
A0010,P002,City Palace Jaipur,Palace,9:30,17:00,700,2 hours,4.7,Royal palace complex housing museums courtyards and Diwan-i-Khas.
A0011,P002,Hawa Mahal,Palace,9:00,17:00,200,1 hour,4.6,Iconic five-storey honeycomb facade palace built for royal women.
A0012,P002,Jantar Mantar Jaipur,Historical,9:00,16:30,200,1 hour,4.5,UNESCO-listed astronomical observatory with massive stone instruments.
A0013,P002,Nahargarh Fort,Fort,10:00,18:00,200,2 hours,4.5,Hilltop fort with panoramic views of Jaipur city and surrounding hills.
A0014,P002,Jal Mahal,Palace,6:00,18:00,0,1 hour,4.4,Picturesque palace appearing to float in the middle of Man Sagar Lake.
A0015,P002,Albert Hall Museum,Museum,9:00,17:00,150,2 hours,4.4,Oldest museum in Rajasthan showcasing art artifacts and Egyptian mummy.
A0016,P002,Birla Mandir Jaipur,Temple,6:00,12:00,0,1 hour,4.4,Stunning white marble temple dedicated to Lord Vishnu and Goddess Lakshmi.
A0017,P002,Johari Bazaar,Market,10:00,21:00,0,1 hour,4.3,Famous jewellery market in Jaipur known for gems textiles and handicrafts.
A0018,P002,Sisodia Rani Garden,Garden,8:00,18:00,50,1 hour,4.2,Terraced Mughal-style garden built by Maharaja Sawai Jai Singh II.
A0019,P003,Kashi Vishwanath Temple,Temple,3:00,23:00,0,2 hours,4.8,One of the most sacred Hindu temples dedicated to Lord Shiva in Varanasi.
A0020,P003,Dashashwamedh Ghat,Religious,5:00,22:00,0,2 hours,4.8,Main ghat on the Ganges famous for spectacular daily Ganga Aarti ceremony.
A0021,P003,Sarnath,Historical,9:00,17:00,40,2 hours,4.6,Sacred site where Buddha delivered his first sermon after enlightenment.
A0022,P003,Manikarnika Ghat,Religious,0:00,23:59,0,1 hour,4.5,Ancient cremation ghat believed to offer liberation from cycle of rebirth.
A0023,P003,Assi Ghat,Religious,5:00,21:00,0,1 hour,4.5,Peaceful southernmost ghat famous for morning rituals and yoga sessions.
A0024,P003,Ramnagar Fort,Fort,10:00,17:00,15,2 hours,4.3,18th-century riverside fort housing a museum with vintage cars and weapons.
A0025,P003,Bharat Kala Bhavan Museum,Museum,10:30,16:30,100,2 hours,4.4,BHU museum with rare miniature paintings textiles and archaeological artifacts.
A0026,P003,Tulsi Manas Temple,Temple,5:30,12:00,0,1 hour,4.3,White marble temple built at the site where Tulsidas wrote Ramcharitmanas.
A0027,P003,Sankat Mochan Hanuman Temple,Temple,5:00,22:00,0,1 hour,4.6,Beloved Hanuman temple founded by saint Tulsidas on the banks of Ganges.
A0028,P004,Red Fort,Fort,9:30,16:30,600,2 hours,4.6,Magnificent Mughal red sandstone fort and UNESCO World Heritage Site in Delhi.
A0029,P004,Qutub Minar,Historical,7:00,17:00,650,2 hours,4.6,UNESCO-listed 73-metre tall minaret and Iron Pillar complex from 12th century.
A0030,P004,India Gate,Historical,0:00,23:59,0,1 hour,4.7,Iconic war memorial dedicated to soldiers who died in World War One.
A0031,P004,Humayun's Tomb,Historical,6:00,18:00,600,2 hours,4.6,UNESCO-listed Mughal garden tomb and inspiration for the Taj Mahal.
A0032,P004,Lotus Temple,Temple,9:00,17:30,0,1 hour,4.6,Stunning flower-shaped Bahai house of worship open to all religions.
A0033,P004,Akshardham Temple Delhi,Temple,9:30,18:30,0,3 hours,4.8,Grand Hindu temple complex with exhibitions gardens and cultural shows.
A0034,P004,National Museum Delhi,Museum,10:00,17:00,650,3 hours,4.5,India's largest museum showcasing artifacts spanning 5000 years of history.
